	pente	expo
10031603	7.128533235494642	-563.6287135801454
10031614	2.6519876426120974	-1361.2480320974228
10031632	5.181159242339756	-405.5625
10032078	4.319637082955417	-686.0331071747673
10032984	0.6547000010808309	119.75887701977258
10033254	1.4781778068332883	-1162.4765224456787
10033507	1.062332599824318	-2109.135961117952
10033514	1.19560766664351	-1001.7056199117424
10033771	2.2836388254922535	-383.08648928183095
10034031	6.615397285242549	-153.9052381967676
10034375	4.504741132259369	80.50975095666945
10034757	0.7874525798333658	-292.6949140504859
10035169	1.0022536472727854	-60.62987043744042
10035511	4.103583335876465	-970.9505516052246
10035634	1.6948585246565155	-882.455958884103
10035719	1.3958502930979575	-3741.5119564222255
10036085	2.113141575706339	-1513.7872670049253
10036117	1.6831944006504398	-905.3012600135803
10036318	1.6043772819268443	-1481.43483746241
10037155	1.2389885194202852	94.49838515690395
10037158	6.590823929309845	234.96382855460757
10037468	1.0038900585735546	-61.233299760257495
10037470	1.4508734507994219	94.08206830705915
10037886	1.815829700893826	-1029.0210741360982
10037953	5.295725459144229	-609.9089889969937
10039220	1.633738330432347	-1837.3389134216309
10039975	0.8738224255411249	262.2679878793112
10040341	0.9975376111997974	-3251.8320301600866
10040870	1.2978022496881882	65.39842588666045
10041438	2.6271628193233325	-1989.9671180207852
10041469	1.8938798755407333	-443.1741239531287
10043427	1.542193639473837	161.96045605889682
10043428	2.181106617321839	54.604830638686224
10043473	0.9647319516996398	128.02790609995523
10043474	2.4959296385447183	68.46527824401855
10043476	2.608088028674223	170.61883146946246
10053267	4.647041775963523	-692.418739159902
10053317	7.6122233708699545	160.52328738570213
10053319	11.593330318277532	193.8215603601365
10053320	5.882266003911088	229.6404782616815
10053321	8.963852405548096	138.33671436044904
10053330	6.491545360977367	109.80489055421617
10053870	4.026998905286397	146.0693248949553
10054467	9.732225179672241	254.51811981201172
10054484	7.327398774444416	162.06992758644952
10054492	5.893278376622633	108.47738672850969
10054493	6.876213020748562	157.86500004359655
10054549	7.340689321358998	55.38370235149677
10054551	7.886217370497442	42.987125834157645
10054552	6.918204098939896	81.28271569146051
10054553	6.9768683314323425	80.70774173736572
10054582	6.841000353340554	246.63151843138417
10054605	10.84354814538708	-445.04323715269567
10054614	10.398570537567139	321.7416178385417
10056830	3.512744126841426	38.51943704741342
10056920	7.781809387668487	47.948516591389975
10056921	5.856043404340744	289.995679473877
10056938	8.525072084243641	271.3278398636585
10057132	12.212864784760908	177.95190413021348
10057173	3.9539859916852866	-115.45037231445312
10057174	17.450522831508092	243.29869519670805
10057177	10.612868494712389	190.16395131349563
10057180	3.548836269378662	264.4568338808806
10057199	3.8161166608333588	237.82979838053384
10057200	10.628746488638091	-3.406268491583355
10057425	5.395472165416269	107.40689098473752
10057463	3.0894511520862578	261.3597723079282
10057464	4.498074497839417	126.43943650051229
10057722	12.145045811479742	124.89571172540838
10057866	3.003761092821757	112.335364818573
10057867	3.5581922829151154	122.1396355195479
10057868	3.4011046290397644	195.18002809797014
