,Nom,JJ,rr24
468,BORDEAUX-MERIGNAC,20170413,0.0
469,BORDEAUX-MERIGNAC,20170414,-1249.875
470,BORDEAUX-MERIGNAC,20170415,-0.075
471,BORDEAUX-MERIGNAC,20170416,-0.0625
472,BORDEAUX-MERIGNAC,20170417,0.0
473,BORDEAUX-MERIGNAC,20170418,0.0
474,BORDEAUX-MERIGNAC,20170419,0.0
475,BORDEAUX-MERIGNAC,20170420,0.0
476,BORDEAUX-MERIGNAC,20170421,0.0
477,BORDEAUX-MERIGNAC,20170422,0.0
478,BORDEAUX-MERIGNAC,20170423,0.0
479,BORDEAUX-MERIGNAC,20170424,0.0
480,BORDEAUX-MERIGNAC,20170425,2.05
481,BORDEAUX-MERIGNAC,20170426,0.7125
482,BORDEAUX-MERIGNAC,20170427,-0.1
483,BORDEAUX-MERIGNAC,20170428,-0.075
484,BORDEAUX-MERIGNAC,20170429,0.0
485,BORDEAUX-MERIGNAC,20170430,3.05
486,BORDEAUX-MERIGNAC,20170501,5.425
487,BORDEAUX-MERIGNAC,20170502,3.975
488,BORDEAUX-MERIGNAC,20170503,0.15
489,BORDEAUX-MERIGNAC,20170504,0.0
490,BORDEAUX-MERIGNAC,20170505,0.0
491,BORDEAUX-MERIGNAC,20170506,0.1625
492,BORDEAUX-MERIGNAC,20170507,-0.0375
493,BORDEAUX-MERIGNAC,20170508,0.0
494,BORDEAUX-MERIGNAC,20170509,0.125
495,BORDEAUX-MERIGNAC,20170510,1.425
496,BORDEAUX-MERIGNAC,20170511,2.5
497,BORDEAUX-MERIGNAC,20170512,0.35
498,BORDEAUX-MERIGNAC,20170513,3.125
499,BORDEAUX-MERIGNAC,20170514,1.65
500,BORDEAUX-MERIGNAC,20170515,0.2125
501,BORDEAUX-MERIGNAC,20170516,0.0
502,BORDEAUX-MERIGNAC,20170517,0.0875
503,BORDEAUX-MERIGNAC,20170518,14.4
504,BORDEAUX-MERIGNAC,20170519,12.175
505,BORDEAUX-MERIGNAC,20170520,3.4
506,BORDEAUX-MERIGNAC,20170521,0.525
507,BORDEAUX-MERIGNAC,20170522,0.4
508,BORDEAUX-MERIGNAC,20170523,0.2
509,BORDEAUX-MERIGNAC,20170524,0.0
510,BORDEAUX-MERIGNAC,20170525,0.0
511,BORDEAUX-MERIGNAC,20170526,0.0
512,BORDEAUX-MERIGNAC,20170527,-0.0375
513,BORDEAUX-MERIGNAC,20170528,-0.0625
514,BORDEAUX-MERIGNAC,20170529,1.525
515,BORDEAUX-MERIGNAC,20170530,3.25
516,BORDEAUX-MERIGNAC,20170531,0.4375
517,BORDEAUX-MERIGNAC,20170601,0.9
518,BORDEAUX-MERIGNAC,20170602,0.05
519,BORDEAUX-MERIGNAC,20170603,10.6375
